chr	start	strand	ConMethReadCount	ConUMethReadCount	DisReadCount	NAReadCount
chr1	876816	+	0	10	1	0
chr1	876821	+	0	10	1	0
chr1	876833	+	0	10	1	0
chr1	876948	+	0	0	0	30
chr1	876958	+	0	0	0	30
chr1	876968	+	0	0	0	30
chr1	877078	+	0	39	2	2
chr1	877087	+	0	39	2	2
chr1	877100	+	0	39	2	2
chr1	877105	+	0	39	2	0
chr1	877110	+	0	38	2	0
chr1	877200	+	0	48	3	0
chr1	877207	+	0	48	3	0
chr1	877217	+	0	48	3	0
chr1	877223	+	0	48	3	0
chr1	877232	+	0	48	3	0
chr1	877270	+	0	42	2	0
chr1	877273	+	0	41	2	0
chr1	877278	+	0	42	2	0
chr1	877280	+	0	42	2	0
chr1	877292	+	0	42	2	0
chr1	877301	+	0	42	2	0
chr1	877304	+	0	42	2	0
chr1	877314	+	0	44	5	0
chr1	877322	+	0	43	5	0
chr1	877328	+	0	44	5	0
chr1	877330	+	0	44	5	0
chr1	877333	+	0	44	5	0
chr1	877336	+	0	44	5	0
chr1	877339	+	0	40	4	0
chr1	877358	+	0	37	0	0
chr1	877361	+	0	37	0	0
chr1	877367	+	0	36	0	0
chr1	877376	+	0	36	0	0
chr1	877378	+	0	37	0	0
chr1	877380	+	0	37	0	0
chr1	877391	+	0	33	0	0
chr1	877684	+	0	52	1	0
chr1	877699	+	0	52	1	0
chr1	877705	+	0	52	1	0
chr1	877710	+	0	52	1	0
chr1	877737	+	0	24	0	0
chr1	877742	+	0	24	0	0
chr1	877747	+	0	23	0	0
chr1	877752	+	0	24	0	0
chr1	877761	+	0	23	0	0
chr1	877767	+	0	23	0	0
chr1	877769	+	0	23	0	0
chr1	877867	+	0	38	3	0
chr1	877876	+	0	38	3	0
chr1	877884	+	0	38	3	0
chr1	877888	+	0	38	3	0
chr1	877894	+	0	37	3	0
chr1	877896	+	0	37	3	0
chr1	877898	+	0	35	3	0
chr1	879370	+	0	0	0	63
chr1	879375	+	0	0	0	63
chr1	879383	+	0	0	0	63
chr1	879452	+	0	0	0	27
chr1	883418	+	0	0	0	59
chr1	883490	+	0	0	0	17
chr1	884853	+	0	0	0	27
chr1	884869	+	0	0	0	27
chr1	886441	+	1	0	0	46
chr1	887873	+	0	0	0	16
chr1	887894	+	0	0	0	16
chr1	888914	+	0	0	0	49
chr1	888933	+	0	0	0	49
chr1	888947	+	0	0	0	46
chr1	894257	+	0	0	0	51
chr1	894272	+	0	0	0	51
chr1	894559	+	0	30	1	0
chr1	894572	+	0	30	1	0
chr1	894579	+	0	30	1	0
chr1	894585	+	0	30	1	0
chr1	894587	+	0	30	1	0
chr1	894764	+	0	24	3	0
chr1	894767	+	0	24	3	0
chr1	894778	+	0	24	3	0
chr1	894786	+	0	24	3	0
chr1	894788	+	0	24	3	0
chr1	894792	+	0	24	3	0
chr1	894794	+	0	24	3	0
chr1	895128	+	7	13	30	0
chr1	895136	+	7	13	31	0
chr1	895141	+	7	13	31	0
chr1	895150	+	7	13	31	0
chr1	895157	+	7	13	31	0
chr1	895685	+	0	0	0	14
chr1	895712	+	0	0	0	14
chr1	895805	+	0	0	0	71
chr1	895821	+	0	0	0	71
chr1	896009	+	0	58	2	0
chr1	896019	+	0	58	2	0
chr1	896021	+	0	57	2	0
chr1	896025	+	0	58	2	0
chr1	896034	+	0	58	2	0
chr1	896036	+	0	58	2	0
chr1	896139	+	0	30	3	0
chr1	896145	+	0	30	3	0
chr1	896150	+	0	28	3	0
chr1	896153	+	0	30	3	0
chr1	896156	+	0	30	3	0
chr1	896165	+	0	30	3	0
chr1	896168	+	0	29	3	0
chr1	896177	+	0	15	3	0
chr1	896180	+	0	15	3	0
chr1	896190	+	0	15	3	0
chr1	896197	+	0	15	3	0
chr1	896202	+	0	14	3	0
chr1	896204	+	0	15	3	0
chr1	896282	+	0	15	0	1
chr1	896292	+	0	15	0	1
chr1	896305	+	0	15	0	1
chr1	896310	+	0	15	0	0
chr1	896316	+	0	13	0	0
chr1	896321	+	0	54	1	0
chr1	896339	+	0	54	1	0
chr1	896341	+	0	54	1	0
chr1	896346	+	0	54	1	0
chr1	896348	+	0	53	1	0
chr1	896350	+	0	52	1	0
chr1	896489	+	0	0	0	56
chr1	896494	+	0	0	0	56
chr1	896508	+	0	0	0	52
chr1	896518	+	0	32	4	4
chr1	896523	+	0	32	4	4
chr1	896536	+	0	32	4	4
chr1	896547	+	0	32	4	0
chr1	896557	+	0	29	2	0
chr1	896560	+	0	28	2	0
chr1	896566	+	0	29	2	0
chr1	896569	+	0	29	2	0
chr1	896589	+	0	29	2	0
chr1	896591	+	0	22	2	0
chr1	896600	+	0	25	1	5
chr1	896612	+	0	25	1	5
chr1	896623	+	0	24	1	3
chr1	896627	+	0	23	1	1
chr1	896631	+	0	24	1	0
chr1	898782	+	0	0	0	17
chr1	898805	+	0	0	0	17
chr1	899247	+	0	0	0	23
chr1	899252	+	0	0	0	23
chr1	899358	+	19	0	3	0
chr1	899364	+	19	0	3	0
chr1	899373	+	19	0	3	0
chr1	899383	+	19	0	3	0
chr1	901830	+	0	37	7	0
chr1	901838	+	0	37	7	0
chr1	901846	+	0	37	7	0
chr1	901848	+	0	37	7	0
chr1	901855	+	0	34	7	0
chr1	901954	+	0	0	0	27
chr1	901979	+	0	0	0	27
chr1	902047	+	0	0	0	40
chr1	902060	+	0	0	0	40
chr1	902116	+	0	43	4	0
chr1	902123	+	0	43	4	0
chr1	902133	+	0	43	4	0
chr1	902138	+	0	43	4	0
chr1	902144	+	0	43	4	0
chr1	902147	+	0	43	4	0
chr1	902150	+	0	41	4	0
chr1	902176	+	0	33	0	0
chr1	902182	+	0	33	0	0
chr1	902189	+	0	33	0	0
chr1	902191	+	0	33	0	0
chr1	902194	+	0	33	0	0
chr1	902200	+	0	33	0	0
chr1	902298	+	0	61	2	3
chr1	902313	+	0	61	2	3
chr1	902316	+	0	61	2	3
chr1	902328	+	0	61	2	0
chr1	902346	+	0	27	0	0
chr1	902350	+	0	27	0	0
chr1	902362	+	0	27	0	0
chr1	902369	+	0	27	0	0
chr1	902375	+	0	27	0	0
chr1	902377	+	0	25	0	0
chr1	902380	+	0	25	0	0
chr1	902438	+	0	51	1	4
chr1	902451	+	0	51	1	4
chr1	902464	+	0	51	1	3
chr1	902468	+	0	51	1	1
chr1	902571	+	0	0	0	24
chr1	902593	+	0	0	0	24
chr1	903445	+	0	0	0	30
chr1	903453	+	0	0	0	30
chr1	903466	+	0	0	0	30
chr1	903528	+	0	0	0	51
chr1	903543	+	0	0	0	52
chr1	906297	+	0	0	0	38
chr1	906302	+	0	0	0	38
chr1	906312	+	0	0	0	38
chr1	906434	+	0	0	0	44
chr1	906465	+	0	0	0	41
chr1	907038	+	0	0	0	41
chr1	907064	+	0	0	0	41
chr1	907071	+	0	0	0	36
chr1	907118	+	0	0	0	48
chr1	907139	+	0	0	0	48
chr1	907192	+	0	0	0	18
chr1	909314	+	0	0	0	34
chr1	909320	+	0	0	0	34
chr1	909381	+	0	0	0	29
chr1	909406	+	0	0	0	27
chr1	910782	+	0	0	0	37
chr1	911470	+	0	49	3	2
chr1	911474	+	0	50	3	1
chr1	911480	+	0	50	3	1
chr1	911488	+	0	50	3	2
chr1	911502	+	0	47	3	0
chr1	911540	+	0	0	0	53
chr1	911995	+	0	0	0	62
chr1	912611	+	0	0	0	25
chr1	912618	+	0	0	0	25
chr1	912633	+	0	0	0	25
chr1	913512	+	0	0	0	14
chr1	913519	+	0	0	0	14
chr1	914072	+	0	0	0	24
chr1	914090	+	0	0	0	24
chr1	914382	+	0	0	0	12
chr1	914393	+	0	0	0	12
chr1	914508	+	26	0	12	1
chr1	914518	+	26	0	12	0
chr1	914521	+	26	0	12	1
chr1	914526	+	26	0	12	1
chr1	914589	+	24	0	6	0
chr1	914600	+	40	0	11	0
chr1	914604	+	40	0	11	0
chr1	914610	+	40	0	11	0
chr1	914624	+	16	0	5	0
chr1	914633	+	14	0	5	0
chr1	914693	+	16	1	5	0
chr1	914699	+	16	1	5	0
chr1	914706	+	16	1	5	0
chr1	914711	+	16	1	5	0
chr1	914795	+	0	0	0	23
chr1	914804	+	0	0	0	23
chr1	914888	+	0	0	0	31
chr1	914896	+	0	0	0	31
chr1	916058	+	9	9	8	1
chr1	916064	+	9	9	8	1
chr1	916071	+	9	9	8	1
chr1	916087	+	9	9	8	0
chr1	916091	+	9	9	8	0
chr1	916158	+	0	0	0	13
chr1	916175	+	0	0	0	13
chr1	916187	+	0	0	0	13
chr1	917688	+	0	0	0	17
chr1	917695	+	0	0	0	17
chr1	917715	+	0	0	0	17
chr1	931047	+	0	0	0	29
chr1	931053	+	0	0	0	29
chr1	931057	+	0	0	0	29
chr1	932306	+	0	0	0	39
chr1	932314	+	0	0	0	38
chr1	932337	+	0	0	0	18
chr1	933553	+	2	3	7	0
chr1	933556	+	2	3	7	0
chr1	933571	+	2	3	7	0
chr1	933578	+	2	3	7	0
chr1	933584	+	2	3	7	0
chr1	933655	+	6	23	16	0
chr1	933672	+	6	23	16	0
chr1	933682	+	6	23	16	0
chr1	933685	+	6	23	16	0
chr1	933712	+	8	10	19	1
chr1	933719	+	8	10	19	1
chr1	933738	+	8	10	19	1
chr1	933744	+	8	10	19	0
chr1	933746	+	8	7	17	0
chr1	934205	+	0	35	6	0
chr1	934211	+	0	35	6	0
chr1	934215	+	0	35	6	0
chr1	934218	+	0	35	6	0
chr1	934239	+	0	33	6	0
chr1	934469	+	0	43	1	4
chr1	934478	+	0	43	1	4
chr1	934484	+	0	43	1	4
chr1	934495	+	0	42	1	0
chr1	934498	+	0	42	1	0
chr1	934520	+	0	26	2	0
chr1	934529	+	0	26	2	0
chr1	934532	+	0	25	2	0
chr1	934535	+	0	26	2	0
chr1	934537	+	0	25	2	0
chr1	934637	+	0	47	2	1
chr1	934641	+	0	47	2	1
chr1	934644	+	0	47	2	0
chr1	934662	+	0	47	2	1
chr1	934768	+	0	19	1	0
chr1	934771	+	0	19	1	0
chr1	934773	+	0	19	1	0
chr1	934789	+	0	19	1	0
chr1	934792	+	0	19	1	0
chr1	934798	+	0	19	1	0
chr1	934801	+	0	16	1	0
chr1	935043	+	0	29	0	0
chr1	935050	+	0	29	0	0
chr1	935058	+	0	29	0	0
chr1	935064	+	0	29	0	0
chr1	935336	+	0	46	2	0
chr1	935339	+	0	45	2	0
chr1	935347	+	0	46	2	0
chr1	935358	+	0	46	2	0
chr1	935363	+	0	45	2	0
chr1	935365	+	0	45	2	0
chr1	935378	+	0	47	3	0
chr1	935387	+	0	47	3	0
chr1	935389	+	0	47	3	0
chr1	935392	+	0	47	3	0
chr1	935397	+	0	47	3	0
chr1	935404	+	0	47	3	0
chr1	935408	+	0	45	3	0
chr1	935463	+	0	37	2	0
chr1	935475	+	0	37	2	0
chr1	935477	+	0	37	2	0
chr1	935479	+	0	37	2	0
chr1	935481	+	0	37	2	0
chr1	935491	+	0	37	2	0
chr1	935534	+	0	0	0	24
chr1	935540	+	0	0	0	24
chr1	935558	+	0	0	0	24
chr1	935618	+	0	33	1	0
chr1	935622	+	0	33	1	0
chr1	935624	+	0	33	1	0
chr1	935631	+	0	33	1	0
chr1	935633	+	0	33	1	0
chr1	935637	+	0	33	1	0
chr1	935650	+	0	30	1	0
chr1	935781	+	0	46	6	1
chr1	935791	+	0	46	6	1
chr1	935799	+	0	46	6	1
chr1	935814	+	0	46	6	0
chr1	935826	+	0	0	0	49
chr1	935843	+	0	0	0	49
chr1	935905	+	0	9	1	0
chr1	935908	+	0	9	1	0
chr1	935911	+	0	9	1	0
chr1	935914	+	0	9	1	0
chr1	935925	+	0	9	1	0
chr1	935932	+	0	9	1	0
chr1	935938	+	0	9	1	0
chr1	936030	+	0	0	0	55
chr1	936053	+	0	0	0	55
chr1	936118	+	0	54	10	0
chr1	936123	+	0	54	10	0
chr1	936130	+	0	54	10	0
chr1	936138	+	0	52	10	0
chr1	936147	+	0	52	9	0
chr1	936151	+	0	52	9	0
chr1	936205	+	0	55	5	0
chr1	936217	+	0	55	5	0
chr1	936229	+	0	55	5	0
chr1	936233	+	0	55	5	0
chr1	936235	+	0	54	5	0
chr1	936515	+	0	42	7	0
chr1	936518	+	0	41	7	0
chr1	936526	+	0	42	7	0
chr1	936528	+	0	42	7	0
chr1	936532	+	0	42	7	0
chr1	936539	+	0	41	7	0
chr1	936610	+	0	0	0	42
chr1	936643	+	0	0	0	39
chr1	936833	+	0	0	0	32
chr1	936847	+	0	0	0	32
chr1	936859	+	0	0	0	32
chr1	936924	+	0	0	0	14
chr1	936951	+	0	0	0	14
chr1	937048	+	0	30	2	2
chr1	937056	+	0	30	2	2
chr1	937058	+	0	30	2	1
chr1	937072	+	0	30	2	1
chr1	937121	+	0	16	3	0
chr1	937126	+	0	16	3	0
chr1	937135	+	0	16	3	0
chr1	937144	+	0	16	3	0
chr1	937147	+	0	16	3	0
chr1	937236	+	0	60	10	0
chr1	937250	+	0	60	10	0
chr1	937261	+	0	60	10	0
chr1	937263	+	0	60	10	0
chr1	937265	+	0	60	10	0
chr1	937270	+	0	56	8	0
chr1	937291	+	0	0	0	46
chr1	937297	+	0	0	0	46
chr1	937364	+	0	28	0	0
chr1	937368	+	0	28	0	0
chr1	937378	+	0	28	0	0
chr1	937380	+	0	28	0	0
chr1	937384	+	0	28	0	0
chr1	937397	+	0	27	0	0
chr1	939363	+	0	0	0	34
chr1	941256	+	0	0	0	30
chr1	941272	+	0	0	0	30
chr1	941284	+	0	0	0	29
chr1	944200	+	0	0	0	49
chr1	944203	+	0	0	0	47
chr1	944232	+	0	0	0	49
chr1	950711	+	20	0	17	0
chr1	950727	+	20	0	17	0
chr1	950734	+	20	0	17	0
chr1	950741	+	20	0	17	0
chr1	950835	+	0	0	0	13
chr1	953839	+	0	0	0	60
chr1	953860	+	0	0	0	60
chr1	953868	+	0	0	0	50
chr1	953956	+	9	0	1	0
chr1	953961	+	9	0	1	0
chr1	953970	+	9	0	1	0
chr1	953974	+	9	0	1	0
chr1	953989	+	9	0	1	0
chr1	954773	+	0	20	2	3
chr1	954794	+	0	20	2	3
chr1	954799	+	0	20	2	3
chr1	954806	+	0	20	2	0
chr1	954873	+	0	26	4	0
chr1	954882	+	0	25	4	0
chr1	954888	+	0	26	4	0
chr1	954890	+	0	25	4	0
chr1	954895	+	0	26	4	0
chr1	954985	+	0	22	0	0
chr1	954991	+	0	22	0	0
chr1	954993	+	0	22	0	0
chr1	955004	+	0	22	0	0
chr1	955006	+	0	22	0	0
chr1	955013	+	0	22	0	0
chr1	955018	+	0	11	0	0
chr1	955087	+	0	61	4	0
chr1	955097	+	0	61	4	0
chr1	955106	+	0	61	4	0
chr1	955111	+	0	61	4	0
chr1	955155	+	0	20	1	0
chr1	955163	+	0	20	1	0
chr1	955165	+	0	19	1	0
chr1	955168	+	0	19	1	0
chr1	955179	+	0	17	1	0
chr1	955185	+	0	15	1	0
chr1	955511	+	0	14	1	0
chr1	955514	+	0	14	1	0
chr1	955516	+	0	14	1	0
chr1	955521	+	0	14	1	0
chr1	955523	+	0	14	1	0
chr1	955525	+	0	14	1	0
chr1	955533	+	0	14	1	0
chr1	955536	+	0	14	1	0
chr1	955543	+	0	14	1	0
chr1	955572	+	0	34	2	0
chr1	955578	+	0	34	2	0
chr1	955583	+	0	34	2	0
chr1	955587	+	0	34	2	0
chr1	955596	+	0	34	2	0
chr1	955647	+	0	88	4	0
chr1	955652	+	0	87	4	0
chr1	955654	+	0	85	4	0
chr1	955656	+	0	88	4	0
chr1	955664	+	0	88	4	0
chr1	955667	+	0	88	4	0
chr1	955669	+	0	83	4	0
chr1	955680	+	0	52	2	0
chr1	955927	+	0	25	1	0
chr1	955942	+	0	25	1	0
chr1	955945	+	0	25	1	0
chr1	955948	+	0	25	1	0
chr1	955951	+	0	25	1	0
chr1	955958	+	0	25	1	0
chr1	956077	+	0	35	1	1
chr1	956081	+	0	35	1	1
chr1	956088	+	0	35	1	1
chr1	956108	+	0	35	1	0
chr1	956137	+	0	0	0	62
chr1	956142	+	0	0	0	61
chr1	956196	+	0	0	0	14
chr1	956217	+	0	0	0	14
chr1	956227	+	0	0	0	10
chr1	956393	+	0	0	0	34
chr1	956404	+	0	0	0	34
chr1	956455	+	0	0	0	15
chr1	956458	+	0	0	0	15
chr1	956462	+	0	0	0	15
chr1	959367	+	0	0	0	21
chr1	959506	+	0	0	0	29
chr1	960268	+	0	0	0	52
chr1	960282	+	0	0	0	52
chr1	960489	+	0	0	0	43
chr1	960551	+	0	0	0	46
chr1	967886	+	0	0	0	25
chr1	967988	+	0	0	0	24
chr1	967998	+	0	0	0	24
chr1	968333	+	3	31	4	10
chr1	968344	+	3	31	4	9
chr1	968360	+	3	31	4	5
chr1	968367	+	3	31	4	6
chr1	968388	+	0	0	0	61
chr1	968395	+	0	0	0	61
chr1	968397	+	0	0	0	61
chr1	968472	+	0	30	1	2
chr1	968477	+	0	30	1	2
chr1	968491	+	0	30	1	2
chr1	968504	+	0	30	1	0
chr1	968838	+	0	0	0	50
chr1	968861	+	0	0	0	51
chr1	968886	+	0	28	4	0
chr1	968890	+	0	28	4	0
chr1	968896	+	0	28	4	0
chr1	968902	+	0	28	4	0
chr1	968912	+	0	28	4	0
chr1	968914	+	0	27	4	0
chr1	968917	+	0	27	4	0
chr1	968944	+	0	0	0	25
chr1	968958	+	0	0	0	25
chr1	968967	+	0	0	0	25
chr1	969042	+	0	0	0	10
chr1	969063	+	0	0	0	10
chr1	969185	+	0	0	0	37
chr1	969213	+	0	0	0	37
chr1	969237	+	9	24	3	0
chr1	969240	+	9	24	3	0
chr1	969254	+	9	24	3	0
chr1	969257	+	9	24	3	0
chr1	969265	+	8	24	3	0
chr1	969269	+	7	24	2	0
chr1	969306	+	0	0	0	12
chr1	969321	+	0	0	0	12
chr1	969426	+	4	10	1	0
chr1	969429	+	4	10	1	0
chr1	969431	+	4	10	1	0
chr1	969438	+	4	10	1	0
chr1	969444	+	4	10	1	0
chr1	969447	+	4	10	1	0
chr1	969458	+	4	10	1	0
chr1	969547	+	7	27	3	0
chr1	969554	+	6	27	2	0
chr1	969556	+	6	27	2	0
chr1	969565	+	6	27	2	0
chr1	969567	+	6	27	2	0
chr1	969569	+	6	27	2	0
chr1	969574	+	6	27	2	0
chr1	969634	+	0	0	0	24
chr1	969664	+	0	0	0	22
chr1	969930	+	7	0	9	0
chr1	969943	+	7	0	9	0
chr1	969949	+	7	0	9	0
chr1	969955	+	7	0	9	0
chr1	969957	+	7	0	7	0
chr1	970191	+	0	0	0	14
chr1	970214	+	0	0	0	13
chr1	970223	+	0	0	0	14
chr1	971290	+	0	0	0	38
chr1	971322	+	0	0	0	38
chr1	973412	+	0	0	0	19
chr1	973419	+	0	0	0	19
chr1	975466	+	0	0	0	44
chr1	975497	+	0	0	0	44
chr1	975499	+	0	0	0	42
chr1	975517	+	6	21	7	5
chr1	975521	+	6	21	7	5
chr1	975528	+	6	21	7	4
chr1	975551	+	6	21	7	1
chr1	975833	+	0	36	7	0
chr1	975842	+	0	36	7	0
chr1	975852	+	0	36	7	0
chr1	975855	+	0	36	7	0
chr1	975859	+	0	36	7	0
chr1	976050	+	0	55	6	1
chr1	976064	+	0	55	6	1
chr1	976070	+	0	55	6	1
chr1	976073	+	0	55	6	0
chr1	976076	+	0	55	6	0
chr1	976277	+	0	0	0	14
chr1	976289	+	0	0	0	14
chr1	976299	+	0	0	0	14
chr1	977500	+	0	0	0	26
chr1	977509	+	0	0	0	26
chr1	979288	+	25	0	6	0
chr1	979294	+	26	0	6	0
chr1	979306	+	22	0	4	0
chr1	979309	+	22	0	4	0
chr1	979321	+	22	0	4	0
chr1	979410	+	0	0	0	22
chr1	979417	+	0	0	0	22
chr1	979423	+	0	0	0	21
chr1	979502	+	0	0	0	48
chr1	979526	+	0	0	0	48
chr1	979551	+	27	0	4	0
chr1	979557	+	27	0	4	0
chr1	979559	+	27	0	4	0
chr1	979574	+	27	0	4	0
chr1	979582	+	27	0	4	0
chr1	980630	+	0	0	0	30
chr1	980635	+	0	0	0	30
chr1	982336	+	0	0	0	26
chr1	982347	+	0	0	0	26
chr1	982355	+	0	0	0	26
chr1	982425	+	0	0	0	11
chr1	982447	+	0	0	0	11
